sha,filename,url,lines,title,comment,priority,category,additional,id,private
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\app\_layout.tsx","","18:0-209:5","Review Done","","1","","","8ce36c5a-d0b8-4476-8ac8-1828f2def182","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\app\(tabs)\_layout.tsx","","1:0-105:0","Review done.Just check theme cart and auth","","2","","","c8274ee4-e5de-4f4f-b2f6-1af3813aff68","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\src\shared\providers\ThemeProvider.tsx","","2:0-3:0","Ye React Native ka built-in hook hai jo device ka current theme batata hai:","","1","","","b0e0dfc2-1eb6-4eec-93d6-c6d7e97a1c40","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\src\shared\providers\ThemeProvider.tsx","","1:0-50:0","Review Done","","2","","","953c901a-7da5-4bfb-8987-85d33e3b8b95","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\src\shared\providers\QueryProvider.tsx","","1:0-14:0","Review Done","","1","","","07a16732-cd2b-47b7-ba2d-629a20ca2f2a","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\src\shared\providers\ReduxProvider.tsx","","1:0-134:0","Review Done","","1","","","9f9b004e-f4d9-4a36-9ce8-8a9aed6e37cf","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\app\(tabs)\index.tsx","","19:0-137:1","Review Done","","2","","","2072f47f-af97-4275-afda-04c362722311","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\app\(auth)\_layout.tsx","","1:0-16:0","Review Done","","1","","","288b33a1-a9f4-4025-b60a-bab61726390f","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\app\(auth)\login.tsx","","1:0-6:0","Review Done","","2","","","7b5c4f62-530b-4c37-9ce2-fb552a3924ad","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\app\(auth)\signup.tsx","","1:0-6:0","Review Done","","1","","","18a8c503-eac1-4085-a22e-f93ab062c89f","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\src\features\auth\screens\SignupScreen.tsx","","33:9-33:19","Why scrollview is added here ?","","2","","","4998891f-9a63-4fe1-90a6-2de8617e9d7e","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\src\features\auth\screens\SignupScreen.tsx","","1:0-133:0","Review Done","","1","","","c11d9658-14e9-4658-9e4e-bcc58e89ec1b","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\src\services\api\apiClient.ts","","7:0-22:3","review done","","1","","","acca8cbe-8dc2-400f-95dc-decfed00787f","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\src\services\api\apiClient.ts","","46:0-57:2","review done","","1","","","eac80a9f-ba95-4b23-bd13-005e9c471e27","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\src\services\api\apiClient.ts","","24:1-92:0","Review done","","1","","","f543ac13-19a3-4643-bc6c-4125b2eaa837","0"
"166a8316f1226f23e14950f3d7851888a7b16be1","\ECOM\src\features\auth\components\AuthRequiredModal.tsx","","10:0-54:0","Review Done","","1","","","743e446b-07dd-45cc-ae90-bf3095426cc6","0"
